location_id,address,province_name,town_name,location_type,record_id,source_id,time_of_record,visit_count,time_in_queue,assigned_employee_id,date,description,pollutant_ppm,biological,results,type_of_water_source,number_of_people_served,hour_of_day,day_of_week,percent_male,percent_female,percent_child
AkHa00026,82 Addis Ababa Road,Akatsi,Harare,Urban,51056,AkHa00026224,2023/02/20 13:51,1,0,30,2023/02/23 13:51,Clean,0.0120857,1.73289e-05,Clean,well,388,13,Monday,9.92,80.99,9.09
AkHa00027,144 Addis Ababa Road,Akatsi,Harare,Urban,45274,AkHa00027224,2022/11/18 14:40,1,0,34,2022/11/21 14:40,Clean,0.0109894,4.47791e-05,Clean,well,224,14,Friday,8.40,72.52,19.08
AkHa00028,72 Addis Ababa Road,Akatsi,Harare,Urban,17509,AkHa00028224,2021/09/23 14:42,1,0,12,2021/09/26 14:42,"Inorganic contaminants: Chromium, Chromium, Barium, Silver",2.01033,0,Contaminated: Chemical,well,306,14,Thursday,4.21,84.58,11.21
AkHa00029,29 Addis Ababa Road,Akatsi,Harare,Urban,4681,AkHa00029224,2021/03/15 15:17,1,0,2,,,,,,tap_in_home_broken,816,15,Monday,4.24,76.27,19.49
AkHa00030,121 Addis Ababa Road,Akatsi,Harare,Urban,48514,AkHa00030224,2023/01/06 16:12,1,0,42,2023/01/09 16:12,Clean,0.0742698,2.72118e-05,Clean,well,366,16,Friday,2.88,71.19,25.93
AkHa00031,88 Addis Ababa Road,Akatsi,Harare,Urban,9483,AkHa00031224,2021/05/27 10:12,1,0,1,2021/05/30 10:12,Clean,0.0590769,4.88722e-05,Clean,well,354,10,Thursday,5.22,86.19,8.58
AkHa00032,75 Addis Ababa Road,Akatsi,Harare,Urban,34196,AkHa00032224,2022/06/06 13:49,1,0,7,2022/06/09 13:49,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological,well,382,13,Monday,2.97,87.71,9.32
AkHa00033,49 Addis Ababa Road,Akatsi,Harare,Urban,20128,AkHa00033224,2021/11/03 11:50,1,0,30,2021/11/06 11:50,"Inorganic contaminants: Copper, Lead, Copper, Mercury",4.2127,0,Contaminated: Chemical,well,384,11,Wednesday,9.57,80.00,10.43
AkHa00034,95 Addis Ababa Road,Akatsi,Harare,Urban,21138,AkHa00034224,2021/11/18 12:07,1,0,48,2021/11/21 12:07,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological,well,210,12,Thursday,3.04,86.96,10.00
AkHa00035,31 Addis Ababa Road,Akatsi,Harare,Urban,42018,AkHa00035224,2022/09/29 15:55,1,0,42,,,,,,tap_in_home_broken,920,15,Thursday,2.99,91.03,5.98
AkHa00036,54 Addis Ababa Road,Akatsi,Harare,Urban,50761,AkHa00036224,2023/02/15 09:07,1,240,10,,,,,,shared_tap,3488,9,Wednesday,7.77,85.49,6.74
AkHa00036,54 Addis Ababa Road,Akatsi,Harare,Urban,50812,AkHa00036224,2023/02/16 08:04,2,113,10,,,,,,shared_tap,3488,8,Thursday,4.35,88.14,7.51
AkHa00036,54 Addis Ababa Road,Akatsi,Harare,Urban,50912,AkHa00036224,2023/02/17 11:17,3,229,10,,,,,,shared_tap,3488,11,Friday,7.10,79.23,13.66
AkHa00036,54 Addis Ababa Road,Akatsi,Harare,Urban,50974,AkHa00036224,2023/02/18 06:58,4,400,10,,,,,,shared_tap,3488,6,Saturday,16.67,65.83,17.50
AkHa00036,54 Addis Ababa Road,Akatsi,Harare,Urban,50993,AkHa00036224,2023/02/19 10:15,5,120,10,,,,,,shared_tap,3488,10,Sunday,16.18,71.08,12.75
AkHa00036,54 Addis Ababa Road,Akatsi,Harare,Urban,51028,AkHa00036224,2023/02/20 10:54,6,185,10,,,,,,shared_tap,3488,10,Monday,5.91,87.27,6.82
AkHa00036,54 Addis Ababa Road,Akatsi,Harare,Urban,51103,AkHa00036224,2023/02/21 06:28,7,158,10,,,,,,shared_tap,3488,6,Tuesday,8.52,74.43,17.05
AkHa00036,54 Addis Ababa Road,Akatsi,Harare,Urban,51268,AkHa00036224,2023/02/22 17:37,8,226,10,,,,,,shared_tap,3488,17,Wednesday,2.70,78.38,18.92
AkHa00037,19 Addis Ababa Road,Akatsi,Harare,Urban,39696,AkHa00037224,2022/08/25 14:17,1,0,26,2022/08/28 14:17,Inorganic contaminants: Zinc,9.02106,0,Contaminated: Chemical,well,348,14,Thursday,5.06,89.45,5.49
AkHa00038,37 Addis Ababa Road,Akatsi,Harare,Urban,49967,AkHa00038224,2023/01/31 15:00,1,0,42,2023/02/03 15:00,Clean,0.0687379,3.1294e-05,Clean,well,308,15,Tuesday,6.74,80.83,12.44
AkHa00039,137 Addis Ababa Road,Akatsi,Harare,Urban,7482,AkHa00039224,2021/04/27 16:47,1,0,38,2021/04/30 16:47,Clean,0.0880139,8.63631e-05,Clean,well,252,16,Tuesday,3.91,84.78,11.30
AkHa00040,63 Addis Ababa Road,Akatsi,Harare,Urban,38638,AkHa00040224,2022/08/09 12:56,1,0,16,,,,,,tap_in_home_broken,338,12,Tuesday,5.06,84.18,10.76
AkHa00041,25 Addis Ababa Road,Akatsi,Harare,Urban,9909,AkHa00041224,2021/06/02 14:14,1,0,24,,,,,,tap_in_home,672,14,Wednesday,4.61,89.40,5.99
AkHa00042,86 Addis Ababa Road,Akatsi,Harare,Urban,43552,AkHa00042224,2022/10/24 16:51,1,0,42,,,,,,tap_in_home,766,16,Monday,4.32,58.38,37.30
AkHa00043,104 Addis Ababa Road,Akatsi,Harare,Urban,46128,AkHa00043224,2022/12/02 09:38,1,0,48,,,,,,tap_in_home_broken,364,9,Friday,5.06,75.95,18.99
AkHa00044,138 Addis Ababa Road,Akatsi,Harare,Urban,34915,AkHa00044224,2022/06/16 09:21,1,0,28,2022/06/19 09:21,Clean,0.0175615,2.70361e-05,Clean,well,304,9,Thursday,8.28,74.56,17.16
AkHa00045,107 Addis Ababa Road,Akatsi,Harare,Urban,37030,AkHa00045224,2022/07/15 15:58,1,0,3,2022/07/18 15:58,Inorganic contaminants: Cadmium,7.98899,0,Contaminated: Chemical,well,370,15,Friday,3.91,85.16,10.94
AkHa00046,140 Addis Ababa Road,Akatsi,Harare,Urban,42192,AkHa00046224,2022/10/03 09:54,1,0,32,2022/10/06 09:54,Clean,0.064936,6.0689e-05,Clean,well,186,9,Monday,3.01,88.72,8.27
AkHa00047,141 Addis Ababa Road,Akatsi,Harare,Urban,14683,AkHa00047224,2021/08/12 10:50,1,0,14,2021/08/15 10:50,Clean,0.0356761,2.67723e-05,Clean,well,324,10,Thursday,4.66,80.83,14.51
AkHa00048,102 Addis Ababa Road,Akatsi,Harare,Urban,35623,AkHa00048224,2022/06/24 16:52,1,0,12,2022/06/27 16:52,Clean,0.0346134,5.01041e-05,Clean,well,174,16,Friday,9.52,69.05,21.43
AkHa00049,96 Addis Ababa Road,Akatsi,Harare,Urban,43188,AkHa00049224,2022/10/18 10:32,1,0,0,,,,,,tap_in_home_broken,892,10,Tuesday,10.87,68.84,20.29
AkHa00050,45 Addis Ababa Road,Akatsi,Harare,Urban,16828,AkHa00050224,2021/09/13 10:02,1,0,42,,,,,,tap_in_home_broken,716,10,Monday,8.64,75.31,16.05
AkHa00051,46 Addis Ababa Road,Akatsi,Harare,Urban,10493,AkHa00051224,2021/06/10 10:31,1,0,10,,,,,,tap_in_home,900,10,Thursday,4.52,80.40,15.08
AkHa00052,48 Addis Ababa Road,Akatsi,Harare,Urban,9768,AkHa00052224,2021/06/01 09:45,1,0,8,,,,,,tap_in_home,374,9,Tuesday,6.22,88.44,5.33
AkHa00053,83 Addis Ababa Road,Akatsi,Harare,Urban,28869,AkHa00053224,2022/03/17 12:07,1,0,3,,,,,,tap_in_home_broken,748,12,Thursday,3.80,80.98,15.22
AkHa00054,5 Addis Ababa Road,Akatsi,Harare,Urban,35939,AkHa00054224,2022/06/30 11:53,1,0,36,2022/07/03 11:53,Virus: Enteroviruses,0,262.668,Contaminated: Biological,well,378,11,Thursday,9.72,80.56,9.72
AkHa00055,108 Addis Ababa Road,Akatsi,Harare,Urban,29700,AkHa00055224,2022/03/29 11:56,1,0,2,,,,,,tap_in_home,562,11,Tuesday,5.68,84.09,10.23
AkHa00056,110 Addis Ababa Road,Akatsi,Harare,Urban,34001,AkHa00056224,2022/06/02 14:13,1,0,16,2022/06/05 14:13,"Inorganic contaminants: Copper, Chromium, Cadmium, Cadmium",5.3843,0,Contaminated: Chemical,well,328,14,Thursday,5.37,86.78,7.85
AkHa00057,53 Addis Ababa Road,Akatsi,Harare,Urban,28720,AkHa00057224,2022/03/15 14:40,1,0,32,,,,,,tap_in_home_broken,876,14,Tuesday,3.88,82.04,14.08
AkHa00058,12 Addis Ababa Road,Akatsi,Harare,Urban,11935,AkHa00058224,2021/07/01 10:09,1,0,22,2021/07/04 10:09,Clean,0.0417806,6.07185e-06,Clean,well,290,10,Thursday,7.61,77.16,15.23
AkHa00059,112 Addis Ababa Road,Akatsi,Harare,Urban,15106,AkHa00059224,2021/08/18 12:21,1,0,36,2021/08/21 12:21,Clean,0.0901758,1.20099e-05,Clean,well,316,12,Wednesday,10.43,73.04,16.52
AkHa00060,85 Addis Ababa Road,Akatsi,Harare,Urban,11440,AkHa00060224,2021/06/23 16:20,1,0,36,,,,,,tap_in_home_broken,376,16,Wednesday,8.38,67.07,24.55
AkHa00061,115 Addis Ababa Road,Akatsi,Harare,Urban,45459,AkHa00061224,2022/11/22 12:41,1,0,2,,,,,,tap_in_home,908,12,Tuesday,5.78,85.33,8.89
AkHa00062,103 Addis Ababa Road,Akatsi,Harare,Urban,19989,AkHa00062224,2021/11/01 16:22,1,0,1,,,,,,tap_in_home_broken,576,16,Monday,5.16,67.61,27.23
AkHa00063,68 Addis Ababa Road,Akatsi,Harare,Urban,6811,AkHa00063224,2021/04/16 15:42,1,0,32,2021/04/19 15:42,"Inorganic contaminants: Zinc, Mercury, Arsenic, Lead",6.0253,0,Contaminated: Chemical,well,306,15,Friday,2.39,88.05,9.56
AkHa00064,38 Addis Ababa Road,Akatsi,Harare,Urban,38678,AkHa00064224,2022/08/09 16:42,1,0,18,,,,,,tap_in_home_broken,538,16,Tuesday,4.67,51.33,44.00
AkHa00065,93 Addis Ababa Road,Akatsi,Harare,Urban,33321,AkHa00065224,2022/05/24 11:05,1,0,40,,,,,,tap_in_home_broken,874,11,Tuesday,10.43,79.13,10.43
AkHa00066,56 Addis Ababa Road,Akatsi,Harare,Urban,9079,AkHa00066224,2021/05/21 10:13,1,0,24,,,,,,tap_in_home,722,10,Friday,5.00,77.50,17.50
AkHa00067,131 Addis Ababa Road,Akatsi,Harare,Urban,2073,AkHa00067224,2021/02/03 10:30,1,0,12,2021/02/06 10:30,Bacteria: Shigella,0,318.664,Contaminated: Biological,well,302,10,Wednesday,3.14,79.25,17.61
AkHa00068,130 Addis Ababa Road,Akatsi,Harare,Urban,17343,AkHa00068224,2021/09/21 12:05,1,0,36,2021/09/24 12:05,Clean,0.014513,8.04249e-05,Clean,well,264,12,Tuesday,2.99,88.06,8.96
AkHa00069,43 Addis Ababa Road,Akatsi,Harare,Urban,44165,AkHa00069224,2022/11/03 10:25,1,0,46,2022/11/06 10:25,"Inorganic contaminants: Zinc, Lead, Cadmium, Arsenic",9.45074,0,Contaminated: Chemical,well,306,10,Thursday,3.60,92.00,4.40
AkHa00070,51 Addis Ababa Road,Akatsi,Harare,Urban,17,AkHa00070224,2021/01/01 11:42,1,0,40,2021/01/04 11:42,Inorganic contaminants: Cadmium,5.46739,0,Contaminated: Chemical,well,390,11,Friday,3.76,83.33,12.90
AkHa00071,119 Addis Ababa Road,Akatsi,Harare,Urban,15700,AkHa00071224,2021/08/27 10:25,1,0,40,2021/08/30 10:25,Bacteria: Salmonella,0,267.371,Contaminated: Biological,well,212,10,Friday,6.33,83.26,10.41
AkHa00072,79 Addis Ababa Road,Akatsi,Harare,Urban,37942,AkHa00072224,2022/07/29 11:35,1,0,12,,,,,,tap_in_home_broken,816,11,Friday,4.17,87.92,7.92
AkHa00073,41 Addis Ababa Road,Akatsi,Harare,Urban,13554,AkHa00073224,2021/07/26 13:12,1,0,38,2021/07/29 13:12,Clean,0.0113271,1.32463e-05,Clean,well,354,13,Monday,8.39,78.71,12.90
AkHa00074,59 Addis Ababa Road,Akatsi,Harare,Urban,22925,AkHa00074224,2021/12/16 10:56,1,0,48,,,,,,tap_in_home_broken,322,10,Thursday,6.64,84.51,8.85
AkHa00075,1 Addis Ababa Road,Akatsi,Harare,Urban,46735,AkHa00075224,2022/12/12 09:05,1,0,18,,,,,,tap_in_home_broken,358,9,Monday,5.00,84.58,10.42
AkHa00076,126 Addis Ababa Road,Akatsi,Harare,Urban,25933,AkHa00076224,2022/01/31 13:45,1,0,6,2022/02/03 13:45,Clean,0.0453546,6.5023e-05,Clean,well,298,13,Monday,3.81,90.68,5.51
AkHa00077,122 Addis Ababa Road,Akatsi,Harare,Urban,26132,AkHa00077224,2022/02/03 11:15,1,0,48,2022/02/06 11:15,"Inorganic contaminants: Cadmium, Selenium, Cadmium",2.40463,0,Contaminated: Chemical,well,262,11,Thursday,8.89,76.30,14.81
AkHa00078,134 Addis Ababa Road,Akatsi,Harare,Urban,30079,AkHa00078224,2022/04/04 11:57,1,0,40,,,,,,tap_in_home_broken,612,11,Monday,6.28,87.44,6.28
AkHa00079,70 Addis Ababa Road,Akatsi,Harare,Urban,49958,AkHa00079224,2023/01/31 13:39,1,0,42,,,,,,tap_in_home,332,13,Tuesday,7.03,85.95,7.03
AkHa00080,148 Addis Ababa Road,Akatsi,Harare,Urban,39851,AkHa00080224,2022/08/29 09:30,1,0,42,,,,,,tap_in_home,880,9,Monday,3.35,87.08,9.57
AkHa00081,145 Addis Ababa Road,Akatsi,Harare,Urban,13734,AkHa00081224,2021/07/28 16:30,1,0,12,2021/07/31 16:30,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological,well,318,16,Wednesday,8.62,76.44,14.94
AkHa00082,77 Addis Ababa Road,Akatsi,Harare,Urban,2453,AkHa00082224,2021/02/09 12:44,1,0,8,,,,,,tap_in_home_broken,322,12,Tuesday,2.24,88.81,8.96
AkHa00083,50 Addis Ababa Road,Akatsi,Harare,Urban,24462,AkHa00083224,2022/01/07 15:09,1,0,7,,,,,,tap_in_home_broken,744,15,Friday,5.00,77.50,17.50
AkHa00084,35 Addis Ababa Road,Akatsi,Harare,Urban,36259,AkHa00084224,2022/07/05 12:15,1,16,36,,,,,,shared_tap,322,12,Tuesday,3.93,85.36,10.71
AkHa00085,47 Addis Ababa Road,Akatsi,Harare,Urban,19412,AkHa00085224,2021/10/22 13:27,1,0,7,2021/10/25 13:27,Clean,0.0432579,6.45797e-05,Clean,well,346,13,Friday,2.66,90.49,6.84
AkHa00086,74 Addis Ababa Road,Akatsi,Harare,Urban,31734,AkHa00086224,2022/04/29 11:16,1,0,1,2022/05/02 11:16,Clean,0.070061,1.21007e-05,Clean,well,206,11,Friday,8.72,71.14,20.13
AkHa00087,124 Addis Ababa Road,Akatsi,Harare,Urban,5315,AkHa00087224,2021/03/25 09:35,1,0,16,2021/03/28 09:35,Bacteria: Shigella,0,318.664,Contaminated: Biological,well,288,9,Thursday,6.86,80.39,12.75
AkHa00088,149 Addis Ababa Road,Akatsi,Harare,Urban,12774,AkHa00088224,2021/07/14 11:24,1,0,34,2021/07/17 11:24,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological,well,354,11,Wednesday,6.30,85.04,8.66
AkHa00089,65 Addis Ababa Road,Akatsi,Harare,Urban,34752,AkHa00089224,2022/06/14 13:04,1,0,2,2022/06/17 13:04,Bacteria: E. coli,0,28.9335,Contaminated: Biological,well,268,13,Tuesday,9.27,74.17,16.56
AkHa00090,34 Addis Ababa Road,Akatsi,Harare,Urban,29901,AkHa00090224,2022/03/31 15:30,1,45,5,,,,,,shared_tap,308,15,Thursday,9.87,78.95,11.18
AkHa00090,34 Addis Ababa Road,Akatsi,Harare,Urban,29928,AkHa00090224,2022/04/01 09:18,2,50,5,,,,,,shared_tap,308,9,Friday,7.44,80.17,12.40
AkHa00090,34 Addis Ababa Road,Akatsi,Harare,Urban,30006,AkHa00090224,2022/04/02 08:54,3,63,5,,,,,,shared_tap,308,8,Saturday,15.60,74.31,10.09
AkHa00090,34 Addis Ababa Road,Akatsi,Harare,Urban,30023,AkHa00090224,2022/04/03 06:21,4,12,5,,,,,,shared_tap,308,6,Sunday,12.96,75.00,12.04
AkHa00090,34 Addis Ababa Road,Akatsi,Harare,Urban,30070,AkHa00090224,2022/04/04 11:24,5,62,5,,,,,,shared_tap,308,11,Monday,3.08,90.26,6.67
AkHa00090,34 Addis Ababa Road,Akatsi,Harare,Urban,30159,AkHa00090224,2022/04/05 12:15,6,53,5,,,,,,shared_tap,308,12,Tuesday,9.15,77.46,13.38
AkHa00090,34 Addis Ababa Road,Akatsi,Harare,Urban,30227,AkHa00090224,2022/04/06 10:34,7,34,5,,,,,,shared_tap,308,10,Wednesday,7.18,85.64,7.18
AkHa00090,34 Addis Ababa Road,Akatsi,Harare,Urban,30312,AkHa00090224,2022/04/07 12:28,8,40,5,,,,,,shared_tap,308,12,Thursday,6.61,85.90,7.49
AkHa00091,106 Addis Ababa Road,Akatsi,Harare,Urban,23152,AkHa00091224,2021/12/20 12:14,1,0,40,2021/12/23 12:14,Clean,0.0977287,7.48974e-05,Clean,well,350,12,Monday,5.79,85.95,8.26
AkHa00092,13 Addis Ababa Road,Akatsi,Harare,Urban,45409,AkHa00092224,2022/11/21 14:55,1,0,30,2022/11/24 14:55,Inorganic contaminants: Selenium,1.73625,0,Contaminated: Chemical,well,166,14,Monday,3.25,89.02,7.72
AkHa00093,100 Addis Ababa Road,Akatsi,Harare,Urban,15408,AkHa00093224,2021/08/23 13:19,1,0,5,2021/08/26 13:19,Clean,0.0127001,2.02504e-05,Clean,well,324,13,Monday,10.77,76.92,12.31
AkHa00094,135 Addis Ababa Road,Akatsi,Harare,Urban,18422,AkHa00094224,2021/10/07 13:07,1,0,28,,,,,,tap_in_home,672,13,Thursday,6.40,78.40,15.20
AkHa00095,113 Addis Ababa Road,Akatsi,Harare,Urban,32842,AkHa00095224,2022/05/16 11:00,1,0,0,,,,,,tap_in_home_broken,654,11,Monday,6.45,84.95,8.60
AkHa00096,118 Addis Ababa Road,Akatsi,Harare,Urban,58426,AkHa00096224,2023/06/13 11:15,1,0,14,2023/06/16 11:15,Clean,0.0413851,2.43095e-05,Clean,well,184,11,Tuesday,5.23,88.24,6.54
AkHa00097,67 Addis Ababa Road,Akatsi,Harare,Urban,38253,AkHa00097224,2022/08/03 11:44,1,0,12,,,,,,tap_in_home,538,11,Wednesday,5.98,83.76,10.26
AkHa00098,26 Addis Ababa Road,Akatsi,Harare,Urban,8793,AkHa00098224,2021/05/17 14:50,1,0,32,2021/05/20 14:50,Bacteria: Shigella,0,318.664,Contaminated: Biological,well,390,14,Monday,5.86,89.96,4.18
AkHa00099,114 Addis Ababa Road,Akatsi,Harare,Urban,2428,AkHa00099224,2021/02/09 09:14,1,0,16,,,,,,tap_in_home,306,9,Tuesday,6.94,80.09,12.96
AkHa00100,64 Addis Ababa Road,Akatsi,Harare,Urban,29281,AkHa00100224,2022/03/23 11:35,1,0,36,,,,,,tap_in_home_broken,504,11,Wednesday,2.25,86.52,11.24
AkHa00101,23 Addis Ababa Road,Akatsi,Harare,Urban,27290,AkHa00101224,2022/02/21 15:52,1,0,5,,,,,,tap_in_home_broken,332,15,Monday,5.34,86.89,7.77
AkHa00102,20 Addis Ababa Road,Akatsi,Harare,Urban,15709,AkHa00102224,2021/08/27 11:49,1,0,24,,,,,,tap_in_home,690,11,Friday,5.80,83.93,10.27
AkHa00103,30 Addis Ababa Road,Akatsi,Harare,Urban,51473,AkHa00103224,2023/02/27 12:57,1,240,28,,,,,,shared_tap,3340,12,Monday,5.17,73.28,21.55
AkHa00103,30 Addis Ababa Road,Akatsi,Harare,Urban,51509,AkHa00103224,2023/02/28 07:42,2,186,28,,,,,,shared_tap,3340,7,Tuesday,5.26,72.93,21.80
AkHa00103,30 Addis Ababa Road,Akatsi,Harare,Urban,51580,AkHa00103224,2023/03/01 06:47,3,88,28,,,,,,shared_tap,3340,6,Wednesday,3.47,89.60,6.94
AkHa00103,30 Addis Ababa Road,Akatsi,Harare,Urban,51656,AkHa00103224,2023/03/02 06:22,4,237,28,,,,,,shared_tap,3340,6,Thursday,4.15,87.55,8.30
AkHa00103,30 Addis Ababa Road,Akatsi,Harare,Urban,51836,AkHa00103224,2023/03/03 18:02,5,141,28,,,,,,shared_tap,3340,18,Friday,3.05,59.90,37.06
AkHa00103,30 Addis Ababa Road,Akatsi,Harare,Urban,51840,AkHa00103224,2023/03/04 08:24,6,183,28,,,,,,shared_tap,3340,8,Saturday,14.22,75.86,9.91
AkHa00103,30 Addis Ababa Road,Akatsi,Harare,Urban,51874,AkHa00103224,2023/03/05 14:10,7,179,28,,,,,,shared_tap,3340,14,Sunday,25.74,62.50,11.76
AkHa00103,30 Addis Ababa Road,Akatsi,Harare,Urban,51950,AkHa00103224,2023/03/06 18:52,8,387,28,,,,,,shared_tap,3340,18,Monday,2.75,58.79,38.46
AkHa00104,4 Addis Ababa Road,Akatsi,Harare,Urban,45096,AkHa00104224,2022/11/16 13:41,1,0,30,,,,,,tap_in_home_broken,398,13,Wednesday,4.66,89.64,5.70
AkHa00105,91 Addis Ababa Road,Akatsi,Harare,Urban,19340,AkHa00105224,2021/10/21 16:13,1,0,28,2021/10/24 16:13,Clean,0.0865364,2.10743e-05,Clean,well,324,16,Thursday,5.43,69.93,24.64
AkHa00106,87 Addis Ababa Road,Akatsi,Harare,Urban,13413,AkHa00106224,2021/07/23 11:49,1,0,30,2021/07/26 11:49,"Inorganic contaminants: Selenium, Chromium, Selenium",7.47288,0,Contaminated: Chemical,well,190,11,Friday,10.07,73.38,16.55
